network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2.16.103.85/32,6255148,,,0,0
2.16.103.86/31,6255148,,,0,0
2.16.103.88/29,6255148,,,0,0
2.16.103.96/27,6255148,,,0,0
2.16.103.128/25,6255148,,,0,0
2.16.104.0/23,6255148,,,0,0
2.16.106.0/30,6255148,,,0,0
2.16.106.4/30,2921044,,,0,0
2.16.106.8/30,6255148,,,0,0
2.16.106.12/30,2921044,,,0,0
2.16.106.16/30,6255148,,,0,0
2.16.106.20/30,2921044,,,0,0
2.16.106.24/30,6255148,,,0,0
2.16.106.28/30,2921044,,,0,0
2.16.106.32/30,6255148,,,0,0
2.16.106.36/31,2921044,,,0,0
2.16.106.38/31,6255148,,,0,0
2.16.106.40/29,6255148,,,0,0
2.16.106.48/28,6255148,,,0,0
2.16.106.64/26,6255148,,,0,0
2.16.106.128/25,6255148,,,0,0
2.16.107.0/24,6255148,,,0,0
2.16.108.0/30,6255148,,,0,0
2.16.108.4/30,2510769,,,0,0
2.16.108.8/30,6255148,,,0,0
2.16.108.12/32,2510769,,,0,0
2.16.108.13/32,6255148,,,0,0
2.16.108.14/31,2510769,,,0,0
2.16.108.16/30,6255148,,,0,0
2.16.108.20/30,2510769,,,0,0
2.16.108.24/30,6255148,,,0,0
2.16.108.28/30,2510769,,,0,0
2.16.108.32/30,6255148,,,0,0
2.16.108.36/30,2510769,,,0,0
2.16.108.40/30,6255148,,,0,0
2.16.108.44/30,2510769,,,0,0
